,tollgate_id,time_window,direction,volume,volume_model0,volume_model1,volume_model2,volume_model3,volume_model4,volume_model5,volume_model6,volume_model7,volume_etc0,volume_etc1,volume_type0,volume_type1,volume_type2,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,A2,A3,B1,B3,C1,C3,dayofweek,hour
25,2,2016-09-19 01:40:00,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,1008.2,1013.2,329,2.8,22.2,76,0.0,47.37722222222222,205.81,93.29666666666668,81.52833333333334,164.14666666666662,191.075,0,1
26,3,2016-09-19 01:40:00,0,11,0,7,1,1,0,2,0,0,11,0,0,0,11,1008.2,1013.2,329,2.8,22.2,76,0.0,47.37722222222222,205.81,93.29666666666668,81.52833333333334,164.14666666666662,191.075,0,1
27,3,2016-09-19 01:40:00,1,4,0,3,0,0,0,1,0,0,4,0,3,1,0,1008.2,1013.2,329,2.8,22.2,76,0.0,47.37722222222222,205.81,93.29666666666668,81.52833333333334,164.14666666666662,191.075,0,1
28,1,2016-09-19 01:40:00,0,10,0,9,0,0,0,1,0,0,10,0,0,0,10,1008.2,1013.2,329,2.8,22.2,76,0.0,47.37722222222222,205.81,93.29666666666668,81.52833333333334,164.14666666666662,191.075,0,1
29,1,2016-09-19 01:40:00,1,7,0,5,1,1,0,0,0,0,6,1,4,3,0,1008.2,1013.2,329,2.8,22.2,76,0.0,47.37722222222222,205.81,93.29666666666668,81.52833333333334,164.14666666666662,191.075,0,1
30,2,2016-09-19 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,47.98,168.86,107.47,57.48,129.39249999999998,144.39,0,1
31,3,2016-09-19 02:00:00,0,11,0,10,1,0,0,0,0,0,11,0,0,0,11,1008.2,1013.2,329,2.8,22.2,76,0.0,47.98,168.86,107.47,57.48,129.39249999999998,144.39,0,1
32,3,2016-09-19 02:00:00,1,5,0,3,1,0,0,1,0,0,5,0,3,2,0,1008.2,1013.2,329,2.8,22.2,76,0.0,47.98,168.86,107.47,57.48,129.39249999999998,144.39,0,1
33,1,2016-09-19 02:00:00,0,7,0,3,1,0,1,2,0,0,6,1,0,0,7,1008.2,1013.2,329,2.8,22.2,76,0.0,47.98,168.86,107.47,57.48,129.39249999999998,144.39,0,1
34,1,2016-09-19 02:00:00,1,7,0,4,1,0,0,2,0,0,6,1,2,5,0,1008.2,1013.2,329,2.8,22.2,76,0.0,47.98,168.86,107.47,57.48,129.39249999999998,144.39,0,1
35,2,2016-09-19 02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,135.99,89.88125,101.41,91.38111111111112,169.685,241.98,0,1
36,3,2016-09-19 02:20:00,0,14,0,11,1,2,0,0,0,0,14,0,0,0,14,1008.2,1013.2,329,2.8,22.2,76,0.0,135.99,89.88125,101.41,91.38111111111112,169.685,241.98,0,1
37,3,2016-09-19 02:20:00,1,4,0,3,0,1,0,0,0,0,2,2,3,1,0,1008.2,1013.2,329,2.8,22.2,76,0.0,135.99,89.88125,101.41,91.38111111111112,169.685,241.98,0,1
38,1,2016-09-19 02:20:00,0,10,0,3,5,0,0,2,0,0,9,1,0,0,10,1008.2,1013.2,329,2.8,22.2,76,0.0,135.99,89.88125,101.41,91.38111111111112,169.685,241.98,0,1
39,1,2016-09-19 02:20:00,1,7,0,5,0,0,0,2,0,0,7,0,2,5,0,1008.2,1013.2,329,2.8,22.2,76,0.0,135.99,89.88125,101.41,91.38111111111112,169.685,241.98,0,1
40,2,2016-09-19 02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,60.45,95.96,146.60500000000005,85.95666666666666,182.8333333333333,173.245,0,1
41,3,2016-09-19 02:40:00,0,18,0,14,4,0,0,0,0,0,16,2,0,0,18,1008.2,1013.2,329,2.8,22.2,76,0.0,60.45,95.96,146.60500000000005,85.95666666666666,182.8333333333333,173.245,0,1
42,3,2016-09-19 02:40:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0.0,60.45,95.96,146.60500000000005,85.95666666666666,182.8333333333333,173.245,0,1
43,1,2016-09-19 02:40:00,0,6,0,0,1,3,1,1,0,0,6,0,0,0,6,1008.2,1013.2,329,2.8,22.2,76,0.0,60.45,95.96,146.60500000000005,85.95666666666666,182.8333333333333,173.245,0,1
44,1,2016-09-19 02:40:00,1,10,0,8,1,0,0,1,0,0,10,0,6,4,0,1008.2,1013.2,329,2.8,22.2,76,0.0,60.45,95.96,146.60500000000005,85.95666666666666,182.8333333333333,173.245,0,1
45,2,2016-09-19 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0.0,43.39,104.32071428571429,125.24666666666668,103.14666666666666,127.675,189.85,0,1
46,3,2016-09-19 03:00:00,0,10,0,8,1,1,0,0,0,0,10,0,0,0,10,1008.3,1013.3,15,4.5,24.4,67,0.0,43.39,104.32071428571429,125.24666666666668,103.14666666666666,127.675,189.85,0,1
47,3,2016-09-19 03:00:00,1,5,0,3,2,0,0,0,0,0,4,1,3,2,0,1008.3,1013.3,15,4.5,24.4,67,0.0,43.39,104.32071428571429,125.24666666666668,103.14666666666666,127.675,189.85,0,1
48,1,2016-09-19 03:00:00,0,9,0,5,2,0,0,2,0,0,9,0,0,0,9,1008.3,1013.3,15,4.5,24.4,67,0.0,43.39,104.32071428571429,125.24666666666668,103.14666666666666,127.675,189.85,0,1
49,1,2016-09-19 03:00:00,1,10,0,7,2,1,0,0,0,0,10,0,4,6,0,1008.3,1013.3,15,4.5,24.4,67,0.0,43.39,104.32071428571429,125.24666666666668,103.14666666666666,127.675,189.85,0,1
50,2,2016-09-19 03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0.0,41.66,84.52454545454545,92.37857142857143,95.71363636363635,139.97750000000002,267.5325,0,1
51,3,2016-09-19 03:20:00,0,10,0,9,1,0,0,0,0,0,10,0,0,0,10,1008.3,1013.3,15,4.5,24.4,67,0.0,41.66,84.52454545454545,92.37857142857143,95.71363636363635,139.97750000000002,267.5325,0,1
52,3,2016-09-19 03:20:00,1,3,0,2,0,1,0,0,0,0,3,0,2,1,0,1008.3,1013.3,15,4.5,24.4,67,0.0,41.66,84.52454545454545,92.37857142857143,95.71363636363635,139.97750000000002,267.5325,0,1
53,1,2016-09-19 03:20:00,0,4,0,3,0,1,0,0,0,0,3,1,0,0,4,1008.3,1013.3,15,4.5,24.4,67,0.0,41.66,84.52454545454545,92.37857142857143,95.71363636363635,139.97750000000002,267.5325,0,1
54,1,2016-09-19 03:20:00,1,14,0,8,3,0,0,3,0,0,14,0,1,13,0,1008.3,1013.3,15,4.5,24.4,67,0.0,41.66,84.52454545454545,92.37857142857143,95.71363636363635,139.97750000000002,267.5325,0,1
55,2,2016-09-19 03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0.0,47.5,134.59083333333334,95.10666666666668,89.78299999999999,203.9833333333333,104.25,0,1
56,3,2016-09-19 03:40:00,0,9,0,8,0,0,0,1,0,0,9,0,0,0,9,1008.3,1013.3,15,4.5,24.4,67,0.0,47.5,134.59083333333334,95.10666666666668,89.78299999999999,203.9833333333333,104.25,0,1
57,3,2016-09-19 03:40:00,1,10,0,5,0,1,1,3,0,0,9,1,4,6,0,1008.3,1013.3,15,4.5,24.4,67,0.0,47.5,134.59083333333334,95.10666666666668,89.78299999999999,203.9833333333333,104.25,0,1
58,1,2016-09-19 03:40:00,0,9,0,5,1,2,0,1,0,0,7,2,0,0,9,1008.3,1013.3,15,4.5,24.4,67,0.0,47.5,134.59083333333334,95.10666666666668,89.78299999999999,203.9833333333333,104.25,0,1
59,1,2016-09-19 03:40:00,1,20,0,17,0,1,0,2,0,0,18,2,7,13,0,1008.3,1013.3,15,4.5,24.4,67,0.0,47.5,134.59083333333334,95.10666666666668,89.78299999999999,203.9833333333333,104.25,0,1
60,2,2016-09-19 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0.0,67.16,99.3945,118.81,64.33,160.11166666666668,174.39,0,1
61,3,2016-09-19 04:00:00,0,11,0,9,0,2,0,0,0,0,10,1,0,0,11,1008.3,1013.3,15,4.5,24.4,67,0.0,67.16,99.3945,118.81,64.33,160.11166666666668,174.39,0,1
62,3,2016-09-19 04:00:00,1,4,0,3,0,0,1,0,0,0,4,0,2,2,0,1008.3,1013.3,15,4.5,24.4,67,0.0,67.16,99.3945,118.81,64.33,160.11166666666668,174.39,0,1
63,1,2016-09-19 04:00:00,0,10,0,6,2,1,0,1,0,0,10,0,0,0,10,1008.3,1013.3,15,4.5,24.4,67,0.0,67.16,99.3945,118.81,64.33,160.11166666666668,174.39,0,1
64,1,2016-09-19 04:00:00,1,18,0,18,0,0,0,0,0,0,18,0,8,10,0,1008.3,1013.3,15,4.5,24.4,67,0.0,67.16,99.3945,118.81,64.33,160.11166666666668,174.39,0,1
65,2,2016-09-19 04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0.0,89.31,102.35714285714286,98.28333333333332,83.3477777777778,141.95000000000005,148.06,0,1
66,3,2016-09-19 04:20:00,0,8,0,5,1,2,0,0,0,0,8,0,0,0,8,1008.3,1013.3,15,4.5,24.4,67,0.0,89.31,102.35714285714286,98.28333333333332,83.3477777777778,141.95000000000005,148.06,0,1
67,3,2016-09-19 04:20:00,1,7,0,5,1,1,0,0,0,0,5,2,4,3,0,1008.3,1013.3,15,4.5,24.4,67,0.0,89.31,102.35714285714286,98.28333333333332,83.3477777777778,141.95000000000005,148.06,0,1
68,1,2016-09-19 04:20:00,0,13,0,9,2,1,0,1,0,0,13,0,0,0,13,1008.3,1013.3,15,4.5,24.4,67,0.0,89.31,102.35714285714286,98.28333333333332,83.3477777777778,141.95000000000005,148.06,0,1
69,1,2016-09-19 04:20:00,1,17,0,13,0,1,2,1,0,0,15,2,7,10,0,1008.3,1013.3,15,4.5,24.4,67,0.0,89.31,102.35714285714286,98.28333333333332,83.3477777777778,141.95000000000005,148.06,0,1
70,2,2016-09-19 04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0.0,63.08037037037037,113.55666666666669,121.53,87.26769230769231,186.11142857142858,145.225,0,1
71,3,2016-09-19 04:40:00,0,10,0,9,0,0,0,1,0,0,9,1,0,0,10,1008.3,1013.3,15,4.5,24.4,67,0.0,63.08037037037037,113.55666666666669,121.53,87.26769230769231,186.11142857142858,145.225,0,1
72,3,2016-09-19 04:40:00,1,3,0,0,0,1,1,1,0,0,3,0,0,3,0,1008.3,1013.3,15,4.5,24.4,67,0.0,63.08037037037037,113.55666666666669,121.53,87.26769230769231,186.11142857142858,145.225,0,1
73,1,2016-09-19 04:40:00,0,12,0,8,2,1,0,1,0,0,12,0,0,0,12,1008.3,1013.3,15,4.5,24.4,67,0.0,63.08037037037037,113.55666666666669,121.53,87.26769230769231,186.11142857142858,145.225,0,1
74,1,2016-09-19 04:40:00,1,23,0,17,3,2,0,1,0,0,23,0,8,15,0,1008.3,1013.3,15,4.5,24.4,67,0.0,63.08037037037037,113.55666666666669,121.53,87.26769230769231,186.11142857142858,145.225,0,1
75,2,2016-09-19 05:00:00,0,14,0,9,5,0,0,0,0,0,13,1,0,0,14,1008.3,1013.3,15,4.5,24.4,67,0.0,98.97,139.5,86.9390909090909,82.63307692307693,143.1125,140.904,0,1
76,3,2016-09-19 05:00:00,0,9,0,4,5,0,0,0,0,0,7,2,0,0,9,1008.3,1013.3,15,4.5,24.4,67,0.0,98.97,139.5,86.9390909090909,82.63307692307693,143.1125,140.904,0,1
77,3,2016-09-19 05:00:00,1,11,0,4,3,1,0,3,0,0,10,1,4,7,0,1008.3,1013.3,15,4.5,24.4,67,0.0,98.97,139.5,86.9390909090909,82.63307692307693,143.1125,140.904,0,1
78,1,2016-09-19 05:00:00,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,1008.3,1013.3,15,4.5,24.4,67,0.0,98.97,139.5,86.9390909090909,82.63307692307693,143.1125,140.904,0,1
79,1,2016-09-19 05:00:00,1,28,0,24,2,0,0,2,0,0,25,3,16,12,0,1008.3,1013.3,15,4.5,24.4,67,0.0,98.97,139.5,86.9390909090909,82.63307692307693,143.1125,140.904,0,1
80,2,2016-09-19 05:20:00,0,12,0,8,4,0,0,0,0,0,12,0,0,0,12,1008.3,1013.3,15,4.5,24.4,67,0.0,15.57,92.74,99.668,76.71,163.88750000000005,189.78500000000003,0,1
81,3,2016-09-19 05:20:00,0,14,0,7,7,0,0,0,0,0,13,1,0,0,14,1008.3,1013.3,15,4.5,24.4,67,0.0,15.57,92.74,99.668,76.71,163.88750000000005,189.78500000000003,0,1
82,3,2016-09-19 05:20:00,1,7,0,5,2,0,0,0,0,0,7,0,5,2,0,1008.3,1013.3,15,4.5,24.4,67,0.0,15.57,92.74,99.668,76.71,163.88750000000005,189.78500000000003,0,1
83,1,2016-09-19 05:20:00,0,8,0,6,2,0,0,0,0,0,6,2,0,0,8,1008.3,1013.3,15,4.5,24.4,67,0.0,15.57,92.74,99.668,76.71,163.88750000000005,189.78500000000003,0,1
84,1,2016-09-19 05:20:00,1,24,0,18,4,0,0,2,0,0,23,1,7,17,0,1008.3,1013.3,15,4.5,24.4,67,0.0,15.57,92.74,99.668,76.71,163.88750000000005,189.78500000000003,0,1
85,2,2016-09-19 05:40:00,0,21,0,14,7,0,0,0,0,0,16,5,0,0,21,1008.3,1013.3,15,4.5,24.4,67,0.0,63.53,94.23,118.87,111.8,169.31,134.74,0,1
86,3,2016-09-19 05:40:00,0,27,0,18,9,0,0,0,0,0,24,3,0,0,27,1008.3,1013.3,15,4.5,24.4,67,0.0,63.53,94.23,118.87,111.8,169.31,134.74,0,1
87,3,2016-09-19 05:40:00,1,13,0,10,1,2,0,0,0,0,10,3,8,5,0,1008.3,1013.3,15,4.5,24.4,67,0.0,63.53,94.23,118.87,111.8,169.31,134.74,0,1
88,1,2016-09-19 05:40:00,0,13,0,12,1,0,0,0,0,0,11,2,0,0,13,1008.3,1013.3,15,4.5,24.4,67,0.0,63.53,94.23,118.87,111.8,169.31,134.74,0,1
89,1,2016-09-19 05:40:00,1,34,0,24,4,3,0,3,0,0,31,3,16,18,0,1008.3,1013.3,15,4.5,24.4,67,0.0,63.53,94.23,118.87,111.8,169.31,134.74,0,1
90,2,2016-09-19 06:00:00,0,30,0,22,8,0,0,0,0,0,25,5,0,0,30,1007.4,1012.3,12,6.2,26.8,56,0.0,44.12,102.13,99.62,84.1663157894737,176.16,198.48,0,6
91,3,2016-09-19 06:00:00,0,39,0,26,13,0,0,0,0,0,33,6,0,0,39,1007.4,1012.3,12,6.2,26.8,56,0.0,44.12,102.13,99.62,84.1663157894737,176.16,198.48,0,6
92,3,2016-09-19 06:00:00,1,30,0,18,7,2,0,1,0,2,25,5,14,16,0,1007.4,1012.3,12,6.2,26.8,56,0.0,44.12,102.13,99.62,84.1663157894737,176.16,198.48,0,6
93,1,2016-09-19 06:00:00,0,8,0,7,0,1,0,0,0,0,6,2,0,0,8,1007.4,1012.3,12,6.2,26.8,56,0.0,44.12,102.13,99.62,84.1663157894737,176.16,198.48,0,6
94,1,2016-09-19 06:00:00,1,39,0,27,6,3,1,0,2,0,33,6,18,21,0,1007.4,1012.3,12,6.2,26.8,56,0.0,44.12,102.13,99.62,84.1663157894737,176.16,198.48,0,6
95,2,2016-09-19 06:20:00,0,36,0,26,10,0,0,0,0,0,32,4,0,0,36,1007.4,1012.3,12,6.2,26.8,56,0.0,76.98,79.3,116.70888888888888,82.62739130434781,123.12,210.19714285714284,0,6
96,3,2016-09-19 06:20:00,0,58,1,40,15,0,2,0,0,0,41,17,0,0,58,1007.4,1012.3,12,6.2,26.8,56,0.0,76.98,79.3,116.70888888888888,82.62739130434781,123.12,210.19714285714284,0,6
97,3,2016-09-19 06:20:00,1,38,0,25,6,1,3,2,0,1,29,9,19,19,0,1007.4,1012.3,12,6.2,26.8,56,0.0,76.98,79.3,116.70888888888888,82.62739130434781,123.12,210.19714285714284,0,6
98,1,2016-09-19 06:20:00,0,13,0,12,1,0,0,0,0,0,8,5,0,0,13,1007.4,1012.3,12,6.2,26.8,56,0.0,76.98,79.3,116.70888888888888,82.62739130434781,123.12,210.19714285714284,0,6
99,1,2016-09-19 06:20:00,1,57,0,44,9,1,0,3,0,0,49,8,35,22,0,1007.4,1012.3,12,6.2,26.8,56,0.0,76.98,79.3,116.70888888888888,82.62739130434781,123.12,210.19714285714284,0,6
100,2,2016-09-19 06:40:00,0,37,0,28,9,0,0,0,0,0,27,10,0,0,37,1007.4,1012.3,12,6.2,26.8,56,0.0,68.74,109.62,115.16,103.97846153846152,145.74,153.6533333333333,0,6
101,3,2016-09-19 06:40:00,0,71,0,60,8,1,2,0,0,0,46,25,0,0,71,1007.4,1012.3,12,6.2,26.8,56,0.0,68.74,109.62,115.16,103.97846153846152,145.74,153.6533333333333,0,6
102,3,2016-09-19 06:40:00,1,65,0,58,5,2,0,0,0,0,49,16,51,14,0,1007.4,1012.3,12,6.2,26.8,56,0.0,68.74,109.62,115.16,103.97846153846152,145.74,153.6533333333333,0,6
103,1,2016-09-19 06:40:00,0,32,0,28,2,1,1,0,0,0,23,9,0,0,32,1007.4,1012.3,12,6.2,26.8,56,0.0,68.74,109.62,115.16,103.97846153846152,145.74,153.6533333333333,0,6
104,1,2016-09-19 06:40:00,1,72,0,52,14,0,0,3,0,3,61,11,39,33,0,1007.4,1012.3,12,6.2,26.8,56,0.0,68.74,109.62,115.16,103.97846153846152,145.74,153.6533333333333,0,6
105,2,2016-09-19 07:00:00,0,84,0,80,3,0,1,0,0,0,50,34,0,0,84,1007.4,1012.3,12,6.2,26.8,56,0.0,61.69,126.01,85.53,83.84,170.61,145.33714285714288,0,7
106,3,2016-09-19 07:00:00,0,127,0,101,20,2,4,0,0,0,80,47,0,0,127,1007.4,1012.3,12,6.2,26.8,56,0.0,61.69,126.01,85.53,83.84,170.61,145.33714285714288,0,7
107,3,2016-09-19 07:00:00,1,67,0,59,4,1,2,1,0,0,52,15,54,13,0,1007.4,1012.3,12,6.2,26.8,56,0.0,61.69,126.01,85.53,83.84,170.61,145.33714285714288,0,7
108,1,2016-09-19 07:00:00,0,39,0,34,3,1,1,0,0,0,29,10,0,0,39,1007.4,1012.3,12,6.2,26.8,56,0.0,61.69,126.01,85.53,83.84,170.61,145.33714285714288,0,7
109,1,2016-09-19 07:00:00,1,70,0,53,13,1,0,3,0,0,56,14,51,19,0,1007.4,1012.3,12,6.2,26.8,56,0.0,61.69,126.01,85.53,83.84,170.61,145.33714285714288,0,7
110,2,2016-09-19 07:20:00,0,80,0,73,7,0,0,0,0,0,44,36,0,0,80,1007.4,1012.3,12,6.2,26.8,56,0.0,68.58,106.12,95.5,109.25,188.04,143.08214285714286,0,7
111,3,2016-09-19 07:20:00,0,123,0,112,8,1,2,0,0,0,80,43,0,0,123,1007.4,1012.3,12,6.2,26.8,56,0.0,68.58,106.12,95.5,109.25,188.04,143.08214285714286,0,7
112,3,2016-09-19 07:20:00,1,71,0,65,1,1,1,2,0,1,50,21,57,14,0,1007.4,1012.3,12,6.2,26.8,56,0.0,68.58,106.12,95.5,109.25,188.04,143.08214285714286,0,7
113,1,2016-09-19 07:20:00,0,31,0,30,1,0,0,0,0,0,20,11,0,0,31,1007.4,1012.3,12,6.2,26.8,56,0.0,68.58,106.12,95.5,109.25,188.04,143.08214285714286,0,7
114,1,2016-09-19 07:20:00,1,83,0,70,6,3,2,2,0,0,64,19,62,21,0,1007.4,1012.3,12,6.2,26.8,56,0.0,68.58,106.12,95.5,109.25,188.04,143.08214285714286,0,7
115,2,2016-09-19 07:40:00,0,97,0,93,4,0,0,0,0,0,61,36,0,0,97,1007.4,1012.3,12,6.2,26.8,56,0.0,61.77,112.85,110.87,117.45,165.57,164.74600000000004,0,7
116,3,2016-09-19 07:40:00,0,153,0,139,12,0,2,0,0,0,96,57,0,0,153,1007.4,1012.3,12,6.2,26.8,56,0.0,61.77,112.85,110.87,117.45,165.57,164.74600000000004,0,7
117,3,2016-09-19 07:40:00,1,103,0,97,3,2,0,1,0,0,70,33,92,11,0,1007.4,1012.3,12,6.2,26.8,56,0.0,61.77,112.85,110.87,117.45,165.57,164.74600000000004,0,7
118,1,2016-09-19 07:40:00,0,43,0,40,2,1,0,0,0,0,27,16,0,0,43,1007.4,1012.3,12,6.2,26.8,56,0.0,61.77,112.85,110.87,117.45,165.57,164.74600000000004,0,7
119,1,2016-09-19 07:40:00,1,118,0,106,5,3,2,2,0,0,83,35,99,19,0,1007.4,1012.3,12,6.2,26.8,56,0.0,61.77,112.85,110.87,117.45,165.57,164.74600000000004,0,7
120,2,2016-09-19 08:00:00,0,129,0,124,5,0,0,0,0,0,86,43,0,0,129,1007.4,1012.3,12,6.2,26.8,56,0.0,102.49,122.93,123.73,100.38357142857141,148.59,162.9226666666667,0,8
121,3,2016-09-19 08:00:00,0,161,0,143,17,0,1,0,0,0,104,57,0,0,161,1007.4,1012.3,12,6.2,26.8,56,0.0,102.49,122.93,123.73,100.38357142857141,148.59,162.9226666666667,0,8
122,3,2016-09-19 08:00:00,1,118,0,112,4,2,0,0,0,0,70,48,111,7,0,1007.4,1012.3,12,6.2,26.8,56,0.0,102.49,122.93,123.73,100.38357142857141,148.59,162.9226666666667,0,8
123,1,2016-09-19 08:00:00,0,46,0,42,3,1,0,0,0,0,29,17,0,0,46,1007.4,1012.3,12,6.2,26.8,56,0.0,102.49,122.93,123.73,100.38357142857141,148.59,162.9226666666667,0,8
