"tollgate_id","time_window","direction","volume","volume_model0","volume_model1","volume_model2","volume_model3","volume_model4","volume_model5","volume_model6","volume_model7","volume_etc0","volume_etc1","volume_type0","volume_type1","volume_type2"
"1","2016-09-19 01:40:00","0","10","0","9","0","0","0","1","0","0","10","0","0","0","10"
"1","2016-09-19 01:40:00","1","7","0","5","1","1","0","0","0","0","6","1","4","3","0"
"2","2016-09-19 01:40:00","0","2","0","2","0","0","0","0","0","0","0","2","0","0","2"
"3","2016-09-19 02:00:00","0","11","0","10","1","0","0","0","0","0","11","0","0","0","11"
"3","2016-09-19 02:00:00","1","5","0","3","1","0","0","1","0","0","5","0","3","2","0"
"1","2016-09-19 02:00:00","0","7","0","3","1","0","1","2","0","0","6","1","0","0","7"
"1","2016-09-19 02:00:00","1","7","0","4","1","0","0","2","0","0","6","1","2","5","0"
"2","2016-09-19 02:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 02:20:00","0","14","0","11","1","2","0","0","0","0","14","0","0","0","14"
"3","2016-09-19 02:20:00","1","4","0","3","0","1","0","0","0","0","2","2","3","1","0"
"1","2016-09-19 02:20:00","0","10","0","3","5","0","0","2","0","0","9","1","0","0","10"
"1","2016-09-19 02:20:00","1","7","0","5","0","0","0","2","0","0","7","0","2","5","0"
"2","2016-09-19 02:20:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 02:40:00","0","18","0","14","4","0","0","0","0","0","16","2","0","0","18"
"3","2016-09-19 02:40:00","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","2016-09-19 02:40:00","0","6","0","0","1","3","1","1","0","0","6","0","0","0","6"
"1","2016-09-19 02:40:00","1","10","0","8","1","0","0","1","0","0","10","0","6","4","0"
"2","2016-09-19 02:40:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 03:00:00","0","10","0","8","1","1","0","0","0","0","10","0","0","0","10"
"3","2016-09-19 03:00:00","1","5","0","3","2","0","0","0","0","0","4","1","3","2","0"
"1","2016-09-19 03:00:00","0","9","0","5","2","0","0","2","0","0","9","0","0","0","9"
"1","2016-09-19 03:00:00","1","10","0","7","2","1","0","0","0","0","10","0","4","6","0"
"2","2016-09-19 03:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 03:20:00","0","10","0","9","1","0","0","0","0","0","10","0","0","0","10"
"3","2016-09-19 03:20:00","1","3","0","2","0","1","0","0","0","0","3","0","2","1","0"
"1","2016-09-19 03:20:00","0","4","0","3","0","1","0","0","0","0","3","1","0","0","4"
"1","2016-09-19 03:20:00","1","14","0","8","3","0","0","3","0","0","14","0","1","13","0"
"2","2016-09-19 03:20:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 03:40:00","0","9","0","8","0","0","0","1","0","0","9","0","0","0","9"
"3","2016-09-19 03:40:00","1","10","0","5","0","1","1","3","0","0","9","1","4","6","0"
"1","2016-09-19 03:40:00","0","9","0","5","1","2","0","1","0","0","7","2","0","0","9"
"1","2016-09-19 03:40:00","1","20","0","17","0","1","0","2","0","0","18","2","7","13","0"
"2","2016-09-19 03:40:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 04:00:00","0","11","0","9","0","2","0","0","0","0","10","1","0","0","11"
"3","2016-09-19 04:00:00","1","4","0","3","0","0","1","0","0","0","4","0","2","2","0"
"1","2016-09-19 04:00:00","0","10","0","6","2","1","0","1","0","0","10","0","0","0","10"
"1","2016-09-19 04:00:00","1","18","0","18","0","0","0","0","0","0","18","0","8","10","0"
"2","2016-09-19 04:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 04:20:00","0","8","0","5","1","2","0","0","0","0","8","0","0","0","8"
"3","2016-09-19 04:20:00","1","7","0","5","1","1","0","0","0","0","5","2","4","3","0"
"1","2016-09-19 04:20:00","0","13","0","9","2","1","0","1","0","0","13","0","0","0","13"
"1","2016-09-19 04:20:00","1","17","0","13","0","1","2","1","0","0","15","2","7","10","0"
"2","2016-09-19 04:20:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 04:40:00","0","10","0","9","0","0","0","1","0","0","9","1","0","0","10"
"3","2016-09-19 04:40:00","1","3","0","0","0","1","1","1","0","0","3","0","0","3","0"
"1","2016-09-19 04:40:00","0","12","0","8","2","1","0","1","0","0","12","0","0","0","12"
"1","2016-09-19 04:40:00","1","23","0","17","3","2","0","1","0","0","23","0","8","15","0"
"2","2016-09-19 04:40:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 05:00:00","0","9","0","4","5","0","0","0","0","0","7","2","0","0","9"
"3","2016-09-19 05:00:00","1","11","0","4","3","1","0","3","0","0","10","1","4","7","0"
"1","2016-09-19 05:00:00","0","2","0","0","2","0","0","0","0","0","2","0","0","0","2"
"1","2016-09-19 05:00:00","1","28","0","24","2","0","0","2","0","0","25","3","16","12","0"
"2","2016-09-19 05:00:00","0","14","0","9","5","0","0","0","0","0","13","1","0","0","14"
"3","2016-09-19 05:20:00","0","14","0","7","7","0","0","0","0","0","13","1","0","0","14"
"3","2016-09-19 05:20:00","1","7","0","5","2","0","0","0","0","0","7","0","5","2","0"
"1","2016-09-19 05:20:00","0","8","0","6","2","0","0","0","0","0","6","2","0","0","8"
"1","2016-09-19 05:20:00","1","24","0","18","4","0","0","2","0","0","23","1","7","17","0"
"2","2016-09-19 05:20:00","0","12","0","8","4","0","0","0","0","0","12","0","0","0","12"
"3","2016-09-19 05:40:00","0","27","0","18","9","0","0","0","0","0","24","3","0","0","27"
"3","2016-09-19 05:40:00","1","13","0","10","1","2","0","0","0","0","10","3","8","5","0"
"1","2016-09-19 05:40:00","0","13","0","12","1","0","0","0","0","0","11","2","0","0","13"
"1","2016-09-19 05:40:00","1","34","0","24","4","3","0","3","0","0","31","3","16","18","0"
"2","2016-09-19 05:40:00","0","21","0","14","7","0","0","0","0","0","16","5","0","0","21"
"3","2016-09-19 06:00:00","0","39","0","26","13","0","0","0","0","0","33","6","0","0","39"
"3","2016-09-19 06:00:00","1","30","0","18","7","2","0","1","0","2","25","5","14","16","0"
"1","2016-09-19 06:00:00","0","8","0","7","0","1","0","0","0","0","6","2","0","0","8"
"1","2016-09-19 06:00:00","1","39","0","27","6","3","1","0","2","0","33","6","18","21","0"
"2","2016-09-19 06:00:00","0","30","0","22","8","0","0","0","0","0","25","5","0","0","30"
"3","2016-09-19 06:20:00","0","58","1","40","15","0","2","0","0","0","41","17","0","0","58"
"3","2016-09-19 06:20:00","1","38","0","25","6","1","3","2","0","1","29","9","19","19","0"
"1","2016-09-19 06:20:00","0","13","0","12","1","0","0","0","0","0","8","5","0","0","13"
"1","2016-09-19 06:20:00","1","57","0","44","9","1","0","3","0","0","49","8","35","22","0"
"2","2016-09-19 06:20:00","0","36","0","26","10","0","0","0","0","0","32","4","0","0","36"
"3","2016-09-19 06:40:00","0","71","0","60","8","1","2","0","0","0","46","25","0","0","71"
"3","2016-09-19 06:40:00","1","65","0","58","5","2","0","0","0","0","49","16","51","14","0"
"1","2016-09-19 06:40:00","0","32","0","28","2","1","1","0","0","0","23","9","0","0","32"
"1","2016-09-19 06:40:00","1","72","0","52","14","0","0","3","0","3","61","11","39","33","0"
"2","2016-09-19 06:40:00","0","37","0","28","9","0","0","0","0","0","27","10","0","0","37"
"3","2016-09-19 07:00:00","0","127","0","101","20","2","4","0","0","0","80","47","0","0","127"
"3","2016-09-19 07:00:00","1","67","0","59","4","1","2","1","0","0","52","15","54","13","0"
"1","2016-09-19 07:00:00","0","39","0","34","3","1","1","0","0","0","29","10","0","0","39"
"1","2016-09-19 07:00:00","1","70","0","53","13","1","0","3","0","0","56","14","51","19","0"
"2","2016-09-19 07:00:00","0","84","0","80","3","0","1","0","0","0","50","34","0","0","84"
"3","2016-09-19 07:20:00","0","123","0","112","8","1","2","0","0","0","80","43","0","0","123"
"3","2016-09-19 07:20:00","1","71","0","65","1","1","1","2","0","1","50","21","57","14","0"
"1","2016-09-19 07:20:00","0","31","0","30","1","0","0","0","0","0","20","11","0","0","31"
"1","2016-09-19 07:20:00","1","83","0","70","6","3","2","2","0","0","64","19","62","21","0"
"2","2016-09-19 07:20:00","0","80","0","73","7","0","0","0","0","0","44","36","0","0","80"
"3","2016-09-19 07:40:00","0","153","0","139","12","0","2","0","0","0","96","57","0","0","153"
"3","2016-09-19 07:40:00","1","103","0","97","3","2","0","1","0","0","70","33","92","11","0"
"1","2016-09-19 07:40:00","0","43","0","40","2","1","0","0","0","0","27","16","0","0","43"
"1","2016-09-19 07:40:00","1","118","0","106","5","3","2","2","0","0","83","35","99","19","0"
"2","2016-09-19 07:40:00","0","97","0","93","4","0","0","0","0","0","61","36","0","0","97"
"3","2016-09-19 08:00:00","0","161","0","143","17","0","1","0","0","0","104","57","0","0","161"
"3","2016-09-19 08:00:00","1","118","0","112","4","2","0","0","0","0","70","48","111","7","0"
"1","2016-09-19 08:00:00","0","46","0","42","3","1","0","0","0","0","29","17","0","0","46"
"1","2016-09-19 08:00:00","1","123","0","111","7","1","4","0","0","0","91","32","106","17","0"
"2","2016-09-19 08:00:00","0","129","0","124","5","0","0","0","0","0","86","43","0","0","129"
"3","2016-09-19 08:20:00","0","167","0","146","21","0","0","0","0","0","125","42","0","0","167"
"3","2016-09-19 08:20:00","1","168","0","147","4","4","13","0","0","0","111","57","147","21","0"
"1","2016-09-19 08:20:00","0","56","0","49","4","2","1","0","0","0","39","17","0","0","56"
"1","2016-09-19 08:20:00","1","119","0","106","5","2","4","2","0","0","94","25","105","14","0"
"2","2016-09-19 08:20:00","0","122","0","111","8","1","2","0","0","0","81","41","0","0","122"
"3","2016-09-19 08:40:00","0","138","0","115","19","2","2","0","0","0","94","44","0","0","138"
"3","2016-09-19 08:40:00","1","161","0","144","8","2","1","5","0","1","97","64","137","24","0"
"1","2016-09-19 08:40:00","0","41","9","30","1","1","0","0","0","0","32","9","0","0","41"
"1","2016-09-19 08:40:00","1","116","0","99","10","0","5","2","0","0","90","26","96","20","0"
"2","2016-09-19 08:40:00","0","98","0","91","7","0","0","0","0","0","68","30","0","0","98"
"3","2016-09-19 09:00:00","0","174","0","143","29","1","1","0","0","0","134","40","0","0","174"
"3","2016-09-19 09:00:00","1","145","0","130","10","3","1","1","0","0","101","44","126","19","0"
"1","2016-09-19 09:00:00","0","50","0","44","6","0","0","0","0","0","32","18","0","0","50"
"1","2016-09-19 09:00:00","1","120","0","114","3","2","0","0","0","1","86","34","99","21","0"
"2","2016-09-19 09:00:00","0","89","0","83","5","1","0","0","0","0","74","15","0","0","89"
"3","2016-09-19 09:20:00","0","144","0","125","19","0","0","0","0","0","121","23","0","0","144"
"3","2016-09-19 09:20:00","1","125","0","118","0","6","0","1","0","0","96","29","113","12","0"
"1","2016-09-19 09:20:00","0","49","0","41","7","0","1","0","0","0","39","10","0","0","49"
"1","2016-09-19 09:20:00","1","151","0","135","10","1","4","1","0","0","117","34","119","32","0"
"2","2016-09-19 09:20:00","0","78","0","74","4","0","0","0","0","0","60","18","0","0","78"
"3","2016-09-19 09:40:00","0","148","0","123","23","1","1","0","0","0","120","28","0","0","148"
"3","2016-09-19 09:40:00","1","116","0","106","5","3","0","1","0","1","91","25","99","17","0"
"1","2016-09-19 09:40:00","0","44","0","42","2","0","0","0","0","0","41","3","0","0","44"
"1","2016-09-19 09:40:00","1","131","0","112","12","2","0","3","0","2","104","27","94","37","0"
"2","2016-09-19 09:40:00","0","59","0","57","2","0","0","0","0","0","47","12","0","0","59"
"3","2016-09-19 10:00:00","0","104","0","80","22","1","1","0","0","0","80","24","0","0","104"
"3","2016-09-19 10:00:00","1","117","0","100","8","4","3","2","0","0","91","26","94","23","0"
"1","2016-09-19 10:00:00","0","44","0","38","6","0","0","0","0","0","37","7","0","0","44"
"1","2016-09-19 10:00:00","1","101","0","80","15","3","1","2","0","0","86","15","67","34","0"
"2","2016-09-19 10:00:00","0","71","0","69","2","0","0","0","0","0","53","18","0","0","71"
"3","2016-09-19 10:20:00","0","111","0","85","25","0","1","0","0","0","89","22","0","0","111"
"3","2016-09-19 10:20:00","1","87","0","77","3","2","0","5","0","0","70","17","69","18","0"
"1","2016-09-19 10:20:00","0","44","0","43","1","0","0","0","0","0","38","6","0","0","44"
"1","2016-09-19 10:20:00","1","105","0","90","9","4","1","1","0","0","85","20","74","31","0"
"2","2016-09-19 10:20:00","0","88","0","63","25","0","0","0","0","0","77","11","0","0","88"
"3","2016-09-19 10:40:00","0","122","1","86","34","1","0","0","0","0","103","19","0","0","122"
"3","2016-09-19 10:40:00","1","85","0","74","6","4","0","1","0","0","66","19","71","14","0"
"1","2016-09-19 10:40:00","0","44","0","41","2","0","1","0","0","0","34","10","0","0","44"
"1","2016-09-19 10:40:00","1","102","0","87","11","1","0","2","0","1","82","20","72","30","0"
"2","2016-09-19 10:40:00","0","65","0","52","12","0","0","0","0","1","51","14","0","0","65"
"3","2016-09-19 11:00:00","0","111","0","90","20","0","1","0","0","0","85","26","0","0","111"
"3","2016-09-19 11:00:00","1","73","0","61","4","4","1","2","0","1","53","20","59","14","0"
"1","2016-09-19 11:00:00","0","39","0","32","6","1","0","0","0","0","30","9","0","0","39"
"1","2016-09-19 11:00:00","1","86","0","70","9","2","3","2","0","0","62","24","62","24","0"
"2","2016-09-19 11:00:00","0","50","0","40","10","0","0","0","0","0","37","13","0","0","50"
"3","2016-09-19 11:20:00","0","82","0","61","18","0","3","0","0","0","67","15","0","0","82"
"3","2016-09-19 11:20:00","1","72","0","59","6","5","0","2","0","0","50","22","58","14","0"
"1","2016-09-19 11:20:00","0","30","0","25","5","0","0","0","0","0","23","7","0","0","30"
"1","2016-09-19 11:20:00","1","76","0","65","8","2","1","0","0","0","59","17","57","19","0"
"2","2016-09-19 11:20:00","0","61","0","53","8","0","0","0","0","0","47","14","0","0","61"
"3","2016-09-19 11:40:00","0","91","0","72","17","0","2","0","0","0","71","20","0","0","91"
"3","2016-09-19 11:40:00","1","73","0","63","4","2","0","4","0","0","55","18","58","15","0"
"1","2016-09-19 11:40:00","0","34","0","32","1","0","0","0","0","1","24","10","0","0","34"
"1","2016-09-19 11:40:00","1","100","0","76","11","1","3","9","0","0","78","22","70","30","0"
"2","2016-09-19 11:40:00","0","46","0","39","7","0","0","0","0","0","37","9","0","0","46"
"3","2016-09-19 12:00:00","0","104","0","84","19","0","1","0","0","0","73","31","0","0","104"
"3","2016-09-19 12:00:00","1","94","0","86","3","3","0","2","0","0","70","24","80","14","0"
"1","2016-09-19 12:00:00","0","45","0","43","2","0","0","0","0","0","37","8","0","0","45"
"1","2016-09-19 12:00:00","1","99","0","79","15","3","1","1","0","0","79","20","67","32","0"
"2","2016-09-19 12:00:00","0","87","0","70","17","0","0","0","0","0","69","18","0","0","87"
"3","2016-09-19 12:20:00","0","91","0","66","24","0","1","0","0","0","72","19","0","0","91"
"3","2016-09-19 12:20:00","1","86","0","75","3","1","1","6","0","0","66","20","66","20","0"
"1","2016-09-19 12:20:00","0","44","0","40","2","2","0","0","0","0","30","14","0","0","44"
"1","2016-09-19 12:20:00","1","70","0","61","6","0","0","3","0","0","56","14","45","25","0"
"2","2016-09-19 12:20:00","0","66","0","52","14","0","0","0","0","0","48","18","0","0","66"
"3","2016-09-19 12:40:00","0","122","0","105","13","1","3","0","0","0","99","23","0","0","122"
"3","2016-09-19 12:40:00","1","94","0","85","3","5","0","1","0","0","72","22","77","17","0"
"1","2016-09-19 12:40:00","0","53","0","48","3","1","1","0","0","0","35","18","0","0","53"
"1","2016-09-19 12:40:00","1","79","0","59","9","5","4","2","0","0","64","15","53","26","0"
"2","2016-09-19 12:40:00","0","69","0","57","12","0","0","0","0","0","55","14","0","0","69"
"3","2016-09-19 13:00:00","0","117","0","102","12","1","2","0","0","0","85","32","0","0","117"
"3","2016-09-19 13:00:00","1","91","0","82","5","2","0","2","0","0","69","22","77","14","0"
"1","2016-09-19 13:00:00","0","57","0","48","7","2","0","0","0","0","40","17","0","0","57"
"1","2016-09-19 13:00:00","1","100","0","79","14","1","1","5","0","0","85","15","68","32","0"
"2","2016-09-19 13:00:00","0","81","0","68","9","1","3","0","0","0","55","26","0","0","81"
"3","2016-09-19 13:20:00","0","107","0","80","23","0","4","0","0","0","84","23","0","0","107"
"3","2016-09-19 13:20:00","1","110","0","99","5","3","1","2","0","0","84","26","89","21","0"
"1","2016-09-19 13:20:00","0","61","0","54","6","1","0","0","0","0","44","17","0","0","61"
"1","2016-09-19 13:20:00","1","108","0","85","7","3","6","7","0","0","85","23","77","31","0"
"2","2016-09-19 13:20:00","0","95","0","77","9","2","7","0","0","0","66","29","0","0","95"
"3","2016-09-19 13:40:00","0","131","0","104","26","0","1","0","0","0","104","27","0","0","131"
"3","2016-09-19 13:40:00","1","100","0","94","3","1","1","1","0","0","76","24","81","19","0"
"1","2016-09-19 13:40:00","0","53","0","51","2","0","0","0","0","0","36","17","0","0","53"
"1","2016-09-19 13:40:00","1","106","0","88","10","2","2","4","0","0","79","27","79","27","0"
"2","2016-09-19 13:40:00","0","67","0","52","13","1","0","0","0","1","47","20","0","0","67"
"3","2016-09-19 14:00:00","0","100","0","78","21","0","1","0","0","0","79","21","0","0","100"
"3","2016-09-19 14:00:00","1","95","0","80","2","7","2","4","0","0","69","26","79","16","0"
"1","2016-09-19 14:00:00","0","55","0","50","4","1","0","0","0","0","40","15","0","0","55"
"1","2016-09-19 14:00:00","1","101","0","94","7","0","0","0","0","0","75","26","83","18","0"
"2","2016-09-19 14:00:00","0","66","0","52","13","1","0","0","0","0","54","12","0","0","66"
"3","2016-09-19 14:20:00","0","84","0","64","18","0","2","0","0","0","64","20","0","0","84"
"3","2016-09-19 14:20:00","1","99","0","93","3","1","0","2","0","0","71","28","89","10","0"
"1","2016-09-19 14:20:00","0","52","0","46","5","1","0","0","0","0","42","10","0","0","52"
"1","2016-09-19 14:20:00","1","100","0","78","11","4","3","4","0","0","81","19","72","28","0"
"2","2016-09-19 14:20:00","0","62","0","54","6","1","1","0","0","0","46","16","0","0","62"
"3","2016-09-19 14:40:00","0","107","0","83","21","2","1","0","0","0","81","26","0","0","107"
"3","2016-09-19 14:40:00","1","93","0","86","4","1","0","2","0","0","72","21","80","13","0"
"1","2016-09-19 14:40:00","0","52","0","49","3","0","0","0","0","0","38","14","0","0","52"
"1","2016-09-19 14:40:00","1","101","0","86","12","0","1","1","0","1","83","18","78","23","0"
"2","2016-09-19 14:40:00","0","79","0","70","6","2","1","0","0","0","58","21","0","0","79"
"3","2016-09-19 15:00:00","0","117","0","94","22","0","1","0","0","0","90","27","0","0","117"
"3","2016-09-19 15:00:00","1","75","0","69","2","3","1","0","0","0","56","19","66","9","0"
"1","2016-09-19 15:00:00","0","48","0","44","3","1","0","0","0","0","33","15","0","0","48"
"1","2016-09-19 15:00:00","1","77","0","73","2","2","0","0","0","0","60","17","63","14","0"
"2","2016-09-19 15:00:00","0","77","0","59","17","0","1","0","0","0","58","19","0","0","77"
"3","2016-09-19 15:20:00","0","109","0","90","18","0","1","0","0","0","81","28","0","0","109"
"3","2016-09-19 15:20:00","1","95","0","86","2","3","3","1","0","0","75","20","82","13","0"
"1","2016-09-19 15:20:00","0","57","0","52","3","2","0","0","0","0","49","8","0","0","57"
"1","2016-09-19 15:20:00","1","104","0","88","11","3","1","1","0","0","86","18","74","30","0"
"2","2016-09-19 15:20:00","0","67","0","58","9","0","0","0","0","0","52","15","0","0","67"
"3","2016-09-19 15:40:00","0","115","0","96","19","0","0","0","0","0","82","33","0","0","115"
"3","2016-09-19 15:40:00","1","83","0","74","3","5","0","1","0","0","64","19","75","8","0"
"1","2016-09-19 15:40:00","0","43","0","38","5","0","0","0","0","0","33","10","0","0","43"
"1","2016-09-19 15:40:00","1","92","0","82","7","1","1","1","0","0","71","21","74","18","0"
"2","2016-09-19 15:40:00","0","74","0","62","12","0","0","0","0","0","60","14","0","0","74"
"3","2016-09-19 16:00:00","0","123","0","102","19","0","2","0","0","0","96","27","0","0","123"
"3","2016-09-19 16:00:00","1","101","0","98","3","0","0","0","0","0","75","26","94","7","0"
"1","2016-09-19 16:00:00","0","42","0","38","3","1","0","0","0","0","31","11","0","0","42"
"1","2016-09-19 16:00:00","1","110","0","99","7","1","1","2","0","0","83","27","90","20","0"
"2","2016-09-19 16:00:00","0","76","0","66","10","0","0","0","0","0","60","16","0","0","76"
"3","2016-09-19 16:20:00","0","111","1","95","14","0","1","0","0","0","85","26","0","0","111"
"3","2016-09-19 16:20:00","1","90","0","82","4","1","1","2","0","0","77","13","78","12","0"
"1","2016-09-19 16:20:00","0","46","0","42","3","0","1","0","0","0","35","11","0","0","46"
"1","2016-09-19 16:20:00","1","122","0","109","11","0","2","0","0","0","93","29","104","18","0"
"2","2016-09-19 16:20:00","0","86","0","85","1","0","0","0","0","0","63","23","0","0","86"
"3","2016-09-19 16:40:00","0","116","0","89","26","0","1","0","0","0","88","28","0","0","116"
"3","2016-09-19 16:40:00","1","115","0","105","7","3","0","0","0","0","83","32","106","9","0"
"1","2016-09-19 16:40:00","0","55","0","52","2","0","1","0","0","0","36","19","0","0","55"
"1","2016-09-19 16:40:00","1","116","0","104","7","3","1","1","0","0","82","34","98","18","0"
"2","2016-09-19 16:40:00","0","99","0","86","12","1","0","0","0","0","77","22","0","0","99"
"3","2016-09-19 17:00:00","0","110","0","90","18","0","2","0","0","0","88","22","0","0","110"
"3","2016-09-19 17:00:00","1","86","0","79","3","1","2","1","0","0","60","26","77","9","0"
"1","2016-09-19 17:00:00","0","36","0","30","4","1","1","0","0","0","29","7","0","0","36"
"1","2016-09-19 17:00:00","1","96","0","85","6","1","2","1","0","1","65","31","81","15","0"
"2","2016-09-19 17:00:00","0","85","0","74","8","1","2","0","0","0","68","17","0","0","85"
"3","2016-09-19 17:20:00","0","118","0","98","19","0","1","0","0","0","88","30","0","0","118"
"3","2016-09-19 17:20:00","1","85","0","79","3","3","0","0","0","0","55","30","77","8","0"
"1","2016-09-19 17:20:00","0","34","0","33","0","1","0","0","0","0","26","8","0","0","34"
"1","2016-09-19 17:20:00","1","116","0","103","4","2","5","2","0","0","71","45","106","10","0"
"2","2016-09-19 17:20:00","0","72","0","65","6","1","0","0","0","0","49","23","0","0","72"
"3","2016-09-19 17:40:00","0","95","0","79","14","0","2","0","0","0","77","18","0","0","95"
"3","2016-09-19 17:40:00","1","91","0","78","2","6","0","5","0","0","67","24","77","14","0"
"1","2016-09-19 17:40:00","0","24","0","22","2","0","0","0","0","0","16","8","0","0","24"
"1","2016-09-19 17:40:00","1","112","0","97","4","6","3","2","0","0","74","38","97","15","0"
"2","2016-09-19 17:40:00","0","53","0","47","6","0","0","0","0","0","38","15","0","0","53"
"3","2016-09-19 18:00:00","0","94","0","71","22","0","1","0","0","0","80","14","0","0","94"
"3","2016-09-19 18:00:00","1","73","0","62","5","3","0","3","0","0","49","24","64","9","0"
"1","2016-09-19 18:00:00","0","29","0","27","0","2","0","0","0","0","18","11","0","0","29"
"1","2016-09-19 18:00:00","1","67","0","59","2","3","1","2","0","0","46","21","56","11","0"
"2","2016-09-19 18:00:00","0","55","0","49","6","0","0","0","0","0","37","18","0","0","55"
"3","2016-09-19 18:20:00","0","56","0","38","15","2","1","0","0","0","46","10","0","0","56"
"3","2016-09-19 18:20:00","1","78","0","69","1","3","0","5","0","0","54","24","66","12","0"
"1","2016-09-19 18:20:00","0","27","0","25","2","0","0","0","0","0","22","5","0","0","27"
"1","2016-09-19 18:20:00","1","94","0","83","7","0","1","3","0","0","64","30","81","13","0"
"2","2016-09-19 18:20:00","0","50","0","48","2","0","0","0","0","0","35","15","0","0","50"
"3","2016-09-19 18:40:00","0","61","0","44","17","0","0","0","0","0","52","9","0","0","61"
"3","2016-09-19 18:40:00","1","77","0","70","4","1","1","1","0","0","53","24","72","5","0"
"1","2016-09-19 18:40:00","0","18","0","16","2","0","0","0","0","0","17","1","0","0","18"
"1","2016-09-19 18:40:00","1","65","0","59","2","1","2","1","0","0","41","24","56","9","0"
"2","2016-09-19 18:40:00","0","49","0","44","3","0","1","0","0","1","36","13","0","0","49"
"3","2016-09-19 19:00:00","0","51","0","39","11","0","1","0","0","0","41","10","0","0","51"
"3","2016-09-19 19:00:00","1","44","0","37","2","3","0","2","0","0","32","12","34","10","0"
"1","2016-09-19 19:00:00","0","13","0","12","1","0","0","0","0","0","9","4","0","0","13"
"1","2016-09-19 19:00:00","1","62","0","50","4","4","1","3","0","0","47","15","45","17","0"
"2","2016-09-19 19:00:00","0","44","0","41","3","0","0","0","0","0","32","12","0","0","44"
"3","2016-09-19 19:20:00","0","61","0","42","15","0","4","0","0","0","46","15","0","0","61"
"3","2016-09-19 19:20:00","1","45","0","41","2","0","0","2","0","0","31","14","40","5","0"
"1","2016-09-19 19:20:00","0","22","0","19","1","2","0","0","0","0","17","5","0","0","22"
