"time","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"2016-09-29 21:00:00","1006.8","1011.8","338","2","21","91","0.1"
"2016-10-03 14:00:00","1007.5","1012.5","29","1.8","24","78","0"
"2016-10-17 04:00:00","1015.6","1020.6","104","1.5","19.6","90","0.1"
"2016-10-12 09:00:00","1016.5","1021.6","39","3.7","21.2","57","0"
"2016-10-14 08:00:00","1015.8","1020.9","359","1.9","18.5","84","0"
"2016-10-05 00:40:00","1010","1015","32","0.9","22.7","80","0"
"2016-09-27 06:20:00","1004.3","1009.2","96","3.6","31.1","63","0"
"2016-10-11 02:40:00","1015.5","1020.6","351","2.2","18.7","74","0"
"2016-10-12 19:00:00","1016.1","1021.1","327","1.9","18.9","83","0"
"2016-10-09 23:00:00","1014.5","1019.6","333","2.5","14.1","80","0"
"2016-10-10 08:20:00","1013.3","1018.3","58","3.3","22.4","57","0"
"2016-10-13 11:40:00","1015.3","1020.3","46","2.3","21.3","61","0"
"2016-09-25 16:00:00","1007.9","1012.8","53","1.4","24.4","85","0"
"2016-09-29 05:40:00","1007.9","1012.9","359","5.1","21.6","96","0.4"
"2016-10-16 20:20:00","1014.5","1019.5","344","2","21.3","83","0"
"2016-09-19 01:20:00","1008.2","1013.2","329","2.8","22.2","76","0"
"2016-09-28 04:40:00","1004.5","1009.4","65","4.3","27.9","86","0"
"2016-10-02 12:20:00","1005.9","1010.8","9","5.9","25.8","79","0"
"2016-10-06 21:00:00","1012","1017","25","2.3","20.1","81","0"
"2016-09-28 23:20:00","1005.5","1010.5","29","4.1","21.5","95","0.5"
"2016-10-15 19:40:00","1012.9","1017.9","215","1.7","19.7","97","0"
"2016-10-13 21:00:00","1015.9","1021","352","2.5","18","89","0.3"
"2016-10-13 10:00:00","1015.3","1020.3","46","2.3","21.3","61","0"
"2016-10-04 11:00:00","1005.1","1010.1","327","1.5","23.9","75","0"
"2016-10-09 15:40:00","1016.3","1021.4","57","4.4","17.1","60","0"
"2016-09-25 01:00:00","1008.7","1013.7","195","1.1","23.4","87","0"
"2016-10-12 09:20:00","1016.5","1021.6","39","3.7","21.2","57","0"
"2016-10-07 06:20:00","1009.1","1014.1","299","2.5","20","96","0"
"2016-09-29 18:00:00","1006.4","1011.4","354","1.8","19.6","97","0.2"
"2016-09-24 10:40:00","1006.3","1011.2","78","5.2","27.8","64","0"
"2016-10-12 12:40:00","1017.4","1022.5","360","1.4","20.4","63","0"
"2016-10-17 02:40:00","1015.6","1020.6","35","2.1","20.1","80","0"
"2016-10-12 09:40:00","1016.5","1021.6","39","3.7","21.2","57","0"
"2016-09-26 19:40:00","1005.7","1010.6","46","1.3","24.7","92","0"
"2016-10-15 05:20:00","1015.8","1020.9","357","1.1","19.8","94","0.6"
"2016-10-16 09:20:00","1011.7","1016.7","10","4.1","24.9","74","0"
"2016-10-14 23:20:00","1015.2","1020.3","360","2.3","18.5","90","0"
"2016-10-15 12:00:00","1014.5","1019.6","344","0.9","20","97","0"
"2016-09-28 06:00:00","1003.2","1008.1","92","7.5","26.2","94","5.5"
"2016-09-27 18:40:00","1004.2","1009.1","56","1.7","26.2","95","1.2"
"2016-09-28 18:20:00","1005.6","1010.5","38","5.5","22","94","1.2"
"2016-09-26 20:20:00","1005.7","1010.6","46","1.3","24.7","92","0"
"2016-10-14 14:20:00","1016.5","1021.6","1","1.4","18.3","83","0"
"2016-10-08 04:40:00","1011","1016","5","5.5","20.3","81","0"
"2016-10-13 06:20:00","1015.2","1020.2","48","2.3","21.6","63","0"
"2016-10-10 12:00:00","1015.6","1020.7","139","3.8","20.2","64","0"
"2016-10-01 10:20:00","1007.5","1012.4","99","1.1","28.1","74","0"
"2016-10-06 08:00:00","1013.4","1018.4","59","1.5","23.9","82","0.8"
"2016-09-30 02:00:00","1007","1012","330","2.1","21.7","88","0"
"2016-09-22 05:20:00","1013","1018","187","2.5","26.4","62","0"
"2016-10-09 05:40:00","1016.1","1021.2","66","2.5","21.4","56","0"
"2016-09-22 05:00:00","1013","1018","187","2.5","26.4","62","0"
"2016-10-09 03:40:00","1016.1","1021.2","66","2.5","21.4","56","0"
"2016-10-11 10:20:00","1013.2","1018.2","87","2.4","23","56","0"
"2016-10-08 23:40:00","1015.2","1020.3","354","3.3","16.5","64","0"
"2016-09-21 15:00:00","1014.1","1019.1","310","1","20.8","93","0"
"2016-10-02 18:00:00","1005.5","1010.4","5","1","22.7","91","0"
"2016-09-24 23:40:00","1007.5","1012.4","324","1.1","21.2","93","0"
"2016-10-09 18:40:00","1015.4","1020.5","4","1.3","15.4","67","0"
"2016-10-04 21:40:00","1007.9","1012.9","250","1.4","19.9","90","0"
"2016-09-19 12:20:00","1010.4","1015.4","302","2.3","20.8","92","1.1"
"2016-09-20 01:20:00","1013.2","1018.2","341","3.5","21.1","68","0"
"2016-09-26 13:20:00","1007","1011.9","96","3.5","26.4","78","0"
"2016-10-03 10:20:00","1006.2","1011.2","44","3.6","24.2","79","0"
"2016-09-25 20:00:00","1007.2","1012.1","11","0.9","22.8","87","0"
"2016-10-03 06:20:00","1005.8","1010.7","35","2.6","25.4","72","0"
"2016-09-23 14:20:00","1009.5","1014.5","80","2.5","24.3","77","0"
"2016-09-23 03:40:00","1010.9","1015.9","222","1.7","26.4","68","0"
"2016-10-15 06:00:00","1013.7","1018.8","334","1.5","20.3","96","0.1"
"2016-09-20 19:20:00","1013.8","1018.8","327","1.4","19.4","74","0"
"2016-10-08 15:20:00","1014.9","1020","15","5.5","18.6","60","0"
"2016-09-30 07:40:00","1005.5","1010.5","164","1","24.7","80","0"
"2016-09-30 14:20:00","1008.4","1013.4","351","2.3","22.5","83","0"
"2016-10-03 23:20:00","1007.5","1012.5","303","1.9","20.7","88","0"
"2016-09-19 09:20:00","1008.3","1013.3","351","5.3","23.8","72","0.1"
"2016-10-14 11:00:00","1015.5","1020.6","349","2","18.2","81","0"
"2016-10-01 12:00:00","1009","1014","326","0.9","25.1","90","0"
"2016-10-10 22:40:00","1015.5","1020.6","176","2.5","17.2","74","0"
"2016-09-27 01:40:00","1006.9","1011.8","79","2.1","26.2","86","0"
"2016-10-12 01:20:00","1018.4","1023.5","56","4.5","19.9","60","0"
"2016-10-12 10:20:00","1016.5","1021.6","39","3.7","21.2","57","0"
"2016-10-15 17:20:00","1013.9","1019","280","0","19.8","97","0"
"2016-09-22 21:40:00","1011.3","1016.3","324","1.7","20.5","92","0"
"2016-10-06 22:00:00","1012","1017","25","2.3","20.1","81","0"
"2016-09-23 17:40:00","1009.7","1014.6","82","2","23.4","79","0"
"2016-09-26 00:40:00","1008.4","1013.3","307","1.3","24.1","83","0"
"2016-09-25 19:00:00","1007.2","1012.1","11","0.9","22.8","87","0"
"2016-10-02 22:20:00","1005.6","1010.5","11","2.7","22.6","90","0"
"2016-10-01 07:00:00","1008.1","1013","222","1.4","27.3","75","0"
"2016-10-10 04:20:00","1015","1020","40","3.6","20.9","67","0"
"2016-09-22 00:40:00","1013.9","1018.9","281","1.5","20.7","91","0"
"2016-09-21 07:40:00","1013.1","1018.1","328","3","26.2","56","0"
"2016-10-07 13:20:00","1008.9","1013.9","319","1.8","20.7","98","0.6"
"2016-10-02 17:40:00","1006.4","1011.3","358","2.3","23.2","93","0"
"2016-09-21 02:20:00","1015.5","1020.5","219","0.7","21.7","69","0"
"2016-10-15 09:00:00","1013.7","1018.8","333","2.2","20.3","96","0"
"2016-10-05 15:20:00","1012.3","1017.3","8","3.3","24.7","76","0"
"2016-09-22 22:20:00","1011.3","1016.3","324","1.7","20.5","92","0"
"2016-09-24 03:20:00","1009.2","1014.1","193","1.3","27.8","64","0"
"2016-09-24 05:00:00","1009.2","1014.1","193","1.3","27.8","64","0"
"2016-09-28 07:40:00","1003.2","1008.1","92","7.5","26.2","94","5.5"
"2016-10-15 09:40:00","1013.7","1018.8","333","2.2","20.3","96","0"
"2016-10-11 16:40:00","1015.9","1020.9","45","2.8","20.3","66","0"
"2016-09-28 14:20:00","1006.1","1011","57","3.9","23.1","94","3"
"2016-09-23 15:40:00","1009.7","1014.6","82","2","23.4","79","0"
"2016-10-13 14:00:00","1016.8","1021.9","24","2.2","20.3","69","0"
"2016-10-16 13:00:00","1013.8","1018.8","353","4.3","22.7","77","0"
"2016-09-25 09:40:00","1006.6","1011.5","57","2.8","28.9","57","0"
"2016-09-27 00:00:00","1006.9","1011.8","79","2.1","26.2","86","0"
"2016-09-28 11:00:00","1004.2","1009.1","53","5.1","24.7","93","1.3"
"2016-10-13 01:20:00","1017","1022.1","74","2","19.8","78","0"
"2016-09-28 04:00:00","1004.5","1009.4","65","4.3","27.9","86","0"
"2016-10-06 14:00:00","1015.1","1020.1","85","1.5","22.2","74","0"
"2016-09-26 11:40:00","1005.6","1010.5","81","2.6","28.9","66","0"
"2016-10-11 16:20:00","1015.9","1020.9","45","2.8","20.3","66","0"
"2016-10-01 15:00:00","1009.2","1014.1","322","2.2","24.1","94","0"
"2016-10-10 18:40:00","1015.5","1020.5","254","1.9","17.3","74","0"
"2016-10-07 19:40:00","1008.1","1013.1","342","4.1","20.4","97","2"
"2016-10-15 13:00:00","1014.5","1019.6","344","0.9","20","97","0"
"2016-09-19 11:20:00","1008.3","1013.3","351","5.3","23.8","72","0.1"
"2016-10-02 14:00:00","1005.9","1010.8","9","5.9","25.8","79","0"
"2016-09-28 09:20:00","1004.2","1009.1","53","5.1","24.7","93","1.3"
"2016-10-13 07:00:00","1015.2","1020.2","48","2.3","21.6","63","0"
"2016-10-02 16:00:00","1006.4","1011.3","358","2.3","23.2","93","0"
"2016-09-27 20:00:00","1004.2","1009.1","56","1.7","26.2","95","1.2"
"2016-10-01 15:20:00","1009.2","1014.1","322","2.2","24.1","94","0"
"2016-10-15 06:20:00","1013.7","1018.8","334","1.5","20.3","96","0.1"
"2016-10-15 22:20:00","1012.8","1017.8","216","3.2","19.6","97","0"
"2016-10-17 18:00:00","1014","1019","341","1.5","19.1","92","0"
"2016-10-03 08:40:00","1005.8","1010.7","35","2.6","25.4","72","0"
"2016-09-20 12:20:00","1013.7","1018.7","25","1.7","22.1","53","0"
"2016-10-06 16:20:00","1014.2","1019.2","87","1.8","21.5","76","0"
"2016-10-06 04:20:00","1014.9","1019.9","53","4.7","25.2","69","0"
"2016-10-11 04:40:00","1014.7","1019.7","45","3.5","21.2","66","0"
"2016-09-21 01:40:00","1015.5","1020.5","219","0.7","21.7","69","0"
"2016-09-21 00:00:00","1015.5","1020.5","219","0.7","21.7","69","0"
"2016-10-02 20:20:00","1005.5","1010.4","5","1","22.7","91","0"
"2016-09-23 06:00:00","1008.4","1013.3","90","2.5","29.5","53","0"
"2016-09-29 01:40:00","1007.8","1012.8","345","2.3","21.5","97","3.1"
"2016-09-30 12:20:00","1008.4","1013.4","351","2.3","22.5","83","0"
"2016-10-15 08:20:00","1013.7","1018.8","334","1.5","20.3","96","0.1"
"2016-10-02 05:20:00","1007","1011.9","220","2.9","30.1","64","0"
"2016-09-26 16:00:00","1007.1","1012","315","0.8","25.4","86","0"
"2016-09-29 01:20:00","1007.8","1012.8","345","2.3","21.5","97","3.1"
"2016-09-30 18:40:00","1008.8","1013.8","319","0.9","20.9","96","0"
"2016-10-06 17:00:00","1014.2","1019.2","87","1.8","21.5","76","0"
"2016-09-19 11:00:00","1008.3","1013.3","351","5.3","23.8","72","0.1"
"2016-10-12 13:40:00","1017.4","1022.5","360","1.4","20.4","63","0"
"2016-09-23 13:20:00","1009.5","1014.5","80","2.5","24.3","77","0"
"2016-09-27 05:40:00","1006.3","1011.2","72","3","28.5","77","0"
"2016-10-13 17:20:00","1016.6","1021.6","41","1.8","19.8","71","0"
"2016-10-01 17:00:00","1009.2","1014.1","322","2.2","24.1","94","0"
"2016-10-14 14:00:00","1016.5","1021.6","1","1.4","18.3","83","0"
"2016-09-30 20:20:00","1008.8","1013.8","319","0.9","20.9","96","0"
"2016-10-10 22:00:00","1015.5","1020.6","176","2.5","17.2","74","0"
"2016-10-11 20:00:00","1015.7","1020.7","347","2.3","18.8","73","0"
"2016-10-12 22:20:00","1015.8","1020.9","14","2.3","19.3","79","0"
"2016-09-22 14:20:00","1011.7","1016.7","91","3.6","24.4","72","0"
"2016-10-15 15:40:00","1013.9","1019","280","0","19.8","97","0"
"2016-10-01 10:40:00","1007.5","1012.4","99","1.1","28.1","74","0"
"2016-10-10 03:00:00","1015","1020","40","3.6","20.9","67","0"
"2016-10-16 03:00:00","1013.9","1018.9","342","2.2","24.6","76","0"
"2016-10-03 07:40:00","1005.8","1010.7","35","2.6","25.4","72","0"
"2016-09-19 03:40:00","1008.3","1013.3","15","4.5","24.4","67","0"
"2016-10-13 05:40:00","1017.6","1022.7","39","3.7","21.4","64","0"
"2016-09-26 01:40:00","1008.4","1013.3","307","1.3","24.1","83","0"
"2016-09-30 06:00:00","1005.5","1010.5","164","1","24.7","80","0"
"2016-09-28 07:20:00","1003.2","1008.1","92","7.5","26.2","94","5.5"
"2016-09-21 21:00:00","1012.9","1017.9","320","1.6","19.5","96","0"
"2016-10-01 17:20:00","1009.2","1014.1","322","2.2","24.1","94","0"
"2016-09-28 16:40:00","1006.7","1011.6","51","3.4","22.6","95","1.8"
"2016-10-13 04:00:00","1017.6","1022.7","39","3.7","21.4","64","0"
"2016-09-27 05:20:00","1006.3","1011.2","72","3","28.5","77","0"
"2016-10-14 21:20:00","1015.2","1020.3","360","2.3","18.5","90","0"
"2016-10-09 15:00:00","1016.3","1021.4","57","4.4","17.1","60","0"
"2016-09-21 21:20:00","1012.9","1017.9","320","1.6","19.5","96","0"
"2016-09-26 16:20:00","1007.1","1012","315","0.8","25.4","86","0"
"2016-09-30 09:40:00","1006.2","1011.2","16","3.5","24.1","81","0"
"2016-10-15 02:00:00","1016.5","1021.6","35","2","19","95","0"
"2016-10-01 00:40:00","1009.4","1014.4","236","0.1","22.3","93","0"
"2016-10-07 21:20:00","1008.2","1013.2","355","4.8","20","97","1.9"
"2016-09-28 05:00:00","1004.5","1009.4","65","4.3","27.9","86","0"
"2016-09-23 09:20:00","1008.2","1013.2","96","4.5","27.2","61","0"
"2016-10-08 04:00:00","1011","1016","5","5.5","20.3","81","0"
"2016-09-28 13:40:00","1006.1","1011","57","3.9","23.1","94","3"
"2016-10-13 03:20:00","1017.6","1022.7","39","3.7","21.4","64","0"
"2016-09-25 02:20:00","1008.7","1013.7","195","1.1","23.4","87","0"
"2016-10-06 13:40:00","1015.1","1020.1","85","1.5","22.2","74","0"
"2016-10-09 01:00:00","1016.4","1021.5","1","4","17.5","66","0"
"2016-09-29 12:00:00","1007.6","1012.6","10","3.1","20.3","97","1.5"
"2016-09-23 15:00:00","1009.7","1014.6","82","2","23.4","79","0"
"2016-09-21 10:00:00","1013.2","1018.2","348","1.5","24.9","67","0"
"2016-09-29 20:20:00","1006.4","1011.4","354","1.8","19.6","97","0.2"
"2016-10-09 04:40:00","1016.1","1021.2","66","2.5","21.4","56","0"
"2016-10-01 18:00:00","1008.3","1013.2","334","0.8","23.5","95","0"
"2016-10-09 16:20:00","1016.3","1021.4","57","4.4","17.1","60","0"
"2016-09-19 03:00:00","1008.3","1013.3","15","4.5","24.4","67","0"
"2016-09-27 07:20:00","1004.3","1009.2","96","3.6","31.1","63","0"
"2016-10-04 17:20:00","1006.8","1011.8","310","1.5","22.6","80","0"
"2016-09-20 11:20:00","1012.6","1017.6","11","4.5","25.4","42","0"
"2016-10-15 13:40:00","1014.5","1019.6","344","0.9","20","97","0"
"2016-10-10 18:00:00","1015.5","1020.5","254","1.9","17.3","74","0"
"2016-09-19 13:20:00","1010.4","1015.4","302","2.3","20.8","92","1.1"
"2016-10-13 16:40:00","1016.6","1021.6","41","1.8","19.8","71","0"
"2016-10-17 15:20:00","1014.7","1019.8","222","0.9","18.9","92","0"
"2016-10-07 18:20:00","1008.1","1013.1","342","4.1","20.4","97","2"
"2016-09-20 18:40:00","1013.8","1018.8","327","1.4","19.4","74","0"
"2016-10-03 12:20:00","1007.5","1012.5","29","1.8","24","78","0"
"2016-09-19 07:20:00","1007.4","1012.3","12","6.2","26.8","56","0"
"2016-09-26 21:00:00","1005.7","1010.6","87","1.5","24.9","90","0"
"2016-10-08 12:00:00","1013.9","1019","41","4.6","20.2","66","0"
"2016-09-26 11:20:00","1005.6","1010.5","81","2.6","28.9","66","0"
"2016-10-08 08:20:00","1010.1","1015.1","17","3.6","22.1","72","0"
"2016-10-10 06:20:00","1013.3","1018.3","58","3.3","22.4","57","0"
"2016-09-25 13:00:00","1008","1012.9","83","2.9","25.2","76","0"
"2016-10-16 07:20:00","1011.7","1016.7","301","1.8","26.8","67","0"
"2016-09-25 20:40:00","1007.2","1012.1","11","0.9","22.8","87","0"
"2016-10-04 15:00:00","1006.8","1011.8","310","1.5","22.6","80","0"
"2016-09-25 04:20:00","1008.9","1013.8","102","2.4","28.5","65","0"
"2016-10-10 17:00:00","1016","1021.1","110","3.5","18.8","66","0"
"2016-09-26 18:20:00","1005.7","1010.6","46","1.3","24.7","92","0"
"2016-10-12 14:40:00","1017.4","1022.5","360","1.4","20.4","63","0"
"2016-09-20 15:40:00","1014","1019","326","2.2","20.5","65","0"
"2016-10-14 08:20:00","1015.8","1020.9","359","1.9","18.5","84","0"
"2016-09-28 18:40:00","1005.6","1010.5","38","5.5","22","94","1.2"
"2016-09-23 07:20:00","1008.4","1013.3","90","2.5","29.5","53","0"
"2016-09-26 09:00:00","1005.6","1010.5","81","2.6","28.9","66","0"
"2016-10-11 11:00:00","1013.2","1018.2","87","2.4","23","56","0"
"2016-09-24 14:00:00","1007.8","1012.8","60","2.5","24.4","78","0"
"2016-10-11 20:20:00","1015.7","1020.7","347","2.3","18.8","73","0"
"2016-10-13 12:40:00","1016.8","1021.9","24","2.2","20.3","69","0"
"2016-09-25 21:40:00","1007.2","1012.1","358","0.5","21.8","93","0"
"2016-10-12 01:40:00","1018.4","1023.5","56","4.5","19.9","60","0"
"2016-10-13 04:20:00","1017.6","1022.7","39","3.7","21.4","64","0"
"2016-10-16 18:20:00","1014.5","1019.5","344","2","21.3","83","0"
"2016-09-30 07:00:00","1005.5","1010.5","164","1","24.7","80","0"
"2016-09-19 05:40:00","1008.3","1013.3","15","4.5","24.4","67","0"
"2016-09-22 18:40:00","1011.6","1016.5","33","1.1","21.9","84","0"
"2016-10-16 06:00:00","1011.7","1016.7","301","1.8","26.8","67","0"
"2016-10-15 07:20:00","1013.7","1018.8","334","1.5","20.3","96","0.1"
"2016-09-25 13:40:00","1008","1012.9","83","2.9","25.2","76","0"
"2016-10-16 10:40:00","1011.7","1016.7","10","4.1","24.9","74","0"
"2016-09-19 01:40:00","1008.2","1013.2","329","2.8","22.2","76","0"
"2016-09-25 18:40:00","1007.2","1012.1","11","0.9","22.8","87","0"
"2016-10-02 17:20:00","1006.4","1011.3","358","2.3","23.2","93","0"
"2016-09-30 14:40:00","1008.4","1013.4","351","2.3","22.5","83","0"
"2016-09-28 10:00:00","1004.2","1009.1","53","5.1","24.7","93","1.3"
"2016-10-14 02:20:00","1017.4","1022.5","46","3","18.4","88","0"
"2016-10-06 18:20:00","1012.8","1017.8","4","1.5","20.9","80","0"
"2016-10-16 04:40:00","1013.9","1018.9","342","2.2","24.6","76","0"
"2016-10-05 22:40:00","1013","1018","37","2.7","22.8","82","0"
"2016-09-30 11:20:00","1006.2","1011.2","16","3.5","24.1","81","0"
"2016-10-11 01:40:00","1015.5","1020.6","351","2.2","18.7","74","0"
"2016-10-02 16:20:00","1006.4","1011.3","358","2.3","23.2","93","0"
"2016-09-29 07:40:00","1006.4","1011.4","355","6.9","21","95","0.1"
"2016-10-14 06:20:00","1015.8","1020.9","359","1.9","18.5","84","0"
"2016-10-14 14:40:00","1016.5","1021.6","1","1.4","18.3","83","0"
"2016-10-09 04:00:00","1016.1","1021.2","66","2.5","21.4","56","0"
"2016-10-12 10:00:00","1016.5","1021.6","39","3.7","21.2","57","0"
"2016-09-26 06:00:00","1005.4","1010.3","37","4.1","30.3","56","0"
"2016-10-12 12:00:00","1017.4","1022.5","360","1.4","20.4","63","0"
"2016-10-11 02:00:00","1015.5","1020.6","351","2.2","18.7","74","0"
"2016-09-25 11:00:00","1006.6","1011.5","57","2.8","28.9","57","0"
"2016-10-05 00:20:00","1010","1015","32","0.9","22.7","80","0"
"2016-10-09 12:00:00","1016.1","1021.2","52","6","18.8","58","0"
"2016-10-16 15:00:00","1014.7","1019.7","7","2.1","21.9","80","0"
"2016-10-13 00:20:00","1017","1022.1","74","2","19.8","78","0"
"2016-10-13 15:20:00","1016.6","1021.6","41","1.8","19.8","71","0"
"2016-10-13 00:00:00","1017","1022.1","74","2","19.8","78","0"
"2016-10-16 04:20:00","1013.9","1018.9","342","2.2","24.6","76","0"
"2016-10-15 03:20:00","1015.8","1020.9","357","1.1","19.8","94","0.6"
"2016-10-10 19:40:00","1015.5","1020.5","254","1.9","17.3","74","0"
"2016-10-10 07:00:00","1013.3","1018.3","58","3.3","22.4","57","0"
"2016-09-20 07:00:00","1012.2","1017.2","7","4.6","26.9","43","0"
"2016-09-19 06:20:00","1007.4","1012.3","12","6.2","26.8","56","0"
"2016-10-03 18:20:00","1007.7","1012.7","347","1.3","20.8","80","0"
"2016-10-09 18:00:00","1015.4","1020.5","4","1.3","15.4","67","0"
"2016-09-21 09:20:00","1013.2","1018.2","348","1.5","24.9","67","0"
"2016-10-15 14:40:00","1014.5","1019.6","344","0.9","20","97","0"
"2016-10-06 22:40:00","1012","1017","25","2.3","20.1","81","0"
"2016-09-21 05:40:00","1015.4","1020.4","17","2.4","25.2","59","0"
"2016-10-02 19:00:00","1005.5","1010.4","5","1","22.7","91","0"
"2016-10-11 15:40:00","1015.9","1020.9","45","2.8","20.3","66","0"
"2016-09-28 01:00:00","1004.7","1009.6","46","3.4","26.9","91","0"
"2016-10-08 03:40:00","1011","1016","5","5.5","20.3","81","0"
"2016-09-20 03:40:00","1013.5","1018.5","354","2.6","23.9","58","0"
"2016-10-13 01:00:00","1017","1022.1","74","2","19.8","78","0"
"2016-09-27 08:40:00","1004.3","1009.2","96","3.6","31.1","63","0"
"2016-10-03 09:20:00","1006.2","1011.2","44","3.6","24.2","79","0"
"2016-10-07 15:20:00","1008.9","1013.9","353","2.5","20.9","98","2.5"
"2016-09-21 17:00:00","1014.1","1019.1","310","1","20.8","93","0"
"2016-10-10 10:20:00","1013.7","1018.8","127","3.7","21.2","62","0"
"2016-09-30 16:00:00","1008.9","1013.9","334","1.4","21.7","89","0"
"2016-10-07 10:40:00","1008.7","1013.7","310","1.5","20.4","97","0"
"2016-10-04 05:40:00","1007.4","1012.4","344","2","23.1","74","0"
